embedding_model,classifier,accuracy,f1_score,exit_code,log_file
"all-roberta-large-v1","knn","0.6814","0.6984","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_classifier/sweep_logs/all-roberta-large-v1_knn.log"
"all-roberta-large-v1","logreg","0.7028","0.7223","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_classifier/sweep_logs/all-roberta-large-v1_logreg.log"
"all-roberta-large-v1","rf","0.6949","0.6860","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_classifier/sweep_logs/all-roberta-large-v1_rf.log"
"all-roberta-large-v1","svm","0.7136","0.7304","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_classifier/sweep_logs/all-roberta-large-v1_svm.log"
"all-roberta-large-v1","dt","0.6054","0.6220","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_classifier/sweep_logs/all-roberta-large-v1_dt.log"
"all-roberta-large-v1","nb","0.6395","0.5844","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_classifier/sweep_logs/all-roberta-large-v1_nb.log"
"all-roberta-large-v1","gb","0.6848","0.6960","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_classifier/sweep_logs/all-roberta-large-v1_gb.log"
"all-roberta-large-v1","xgb","0.6858","0.7017","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_classifier/sweep_logs/all-roberta-large-v1_xgb.log"
"all-roberta-large-v1","lgb","0.6991","0.7119","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_classifier/sweep_logs/all-roberta-large-v1_lgb.log"
"all-minilm-L6-v2","knn","0.6805","0.6956","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_classifier/sweep_logs/all-minilm-L6-v2_knn.log"
"all-minilm-L6-v2","logreg","0.6896","0.7077","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_classifier/sweep_logs/all-minilm-L6-v2_logreg.log"
"all-minilm-L6-v2","rf","0.6962","0.6857","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_classifier/sweep_logs/all-minilm-L6-v2_rf.log"
"all-minilm-L6-v2","svm","0.7077","0.7246","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_classifier/sweep_logs/all-minilm-L6-v2_svm.log"
"all-minilm-L6-v2","dt","0.6019","0.6207","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_classifier/sweep_logs/all-minilm-L6-v2_dt.log"
"all-minilm-L6-v2","nb","0.6404","0.5864","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_classifier/sweep_logs/all-minilm-L6-v2_nb.log"
"all-minilm-L6-v2","gb","0.6920","0.6958","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_classifier/sweep_logs/all-minilm-L6-v2_gb.log"
"all-minilm-L6-v2","xgb","0.6823","0.7003","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_classifier/sweep_logs/all-minilm-L6-v2_xgb.log"
"all-minilm-L6-v2","lgb","0.6953","0.7045","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_classifier/sweep_logs/all-minilm-L6-v2_lgb.log"
"all-mpnet-base-v2","knn","0.6847","0.7019","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_classifier/sweep_logs/all-mpnet-base-v2_knn.log"
"all-mpnet-base-v2","logreg","0.6933","0.7141","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_classifier/sweep_logs/all-mpnet-base-v2_logreg.log"
"all-mpnet-base-v2","rf","0.7046","0.6978","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_classifier/sweep_logs/all-mpnet-base-v2_rf.log"
"all-mpnet-base-v2","svm","0.7114","0.7287","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_classifier/sweep_logs/all-mpnet-base-v2_svm.log"
"all-mpnet-base-v2","dt","0.6023","0.6191","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_classifier/sweep_logs/all-mpnet-base-v2_dt.log"
"all-mpnet-base-v2","nb","0.6398","0.5853","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_classifier/sweep_logs/all-mpnet-base-v2_nb.log"
"all-mpnet-base-v2","gb","0.6953","0.7065","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_classifier/sweep_logs/all-mpnet-base-v2_gb.log"
"all-mpnet-base-v2","xgb","0.6869","0.7023","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_classifier/sweep_logs/all-mpnet-base-v2_xgb.log"
"all-mpnet-base-v2","lgb","0.6997","0.7137","0","/home/eriko/Documents/Cost-aware-LLM/pipeline_classifier/sweep_logs/all-mpnet-base-v2_lgb.log"
